Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
1985,09,19,13:17:50,18.5382,-102.3243,29.2,8.1,"MICHOACAN, MEXICO",495983870
2017,09,08,04:49:20,15.0356,-93.9067,56.7,8.1,"NEAR COAST OF CHIAPAS, MEXICO",1504846160
1995,10,09,15:35:55,19.1162,-104.2021,42.3,7.9,"NEAR COAST OF JALISCO, MEXICO",813252955
2022,09,19,18:05:06,18.3667,-103.2524,15.1,7.6,"NEAR COAST OF MICHOACAN, MEXICO",1663610706
1985,09,21,01:37:15,17.811,-101.6856,42.1,7.6,"NEAR COAST OF GUERRERO, MEXICO",496114635
1999,09,30,16:31:15,16.068,-96.931,60.1,7.5,"OAXACA, MEXICO",938709075
2003,01,22,02:06:35,18.8965,-104.0815,27.4,7.5,"NEAR COAST OF JALISCO, MEXICO",1043201195
2012,03,20,18:02:47,16.4734,-98.3694,19.4,7.5,"NEAR COAST OF GUERRERO, MEXICO",1332266567
2020,06,23,15:29:04,15.9163,-95.9533,20,7.4,"NEAR COAST OF OAXACA, MEXICO",1592926144
1995,09,14,14:04:34,16.8818,-98.5954,44.4,7.4,"NEAR COAST OF GUERRERO, MEXICO",811087474
1981,10,25,03:22:16,18.1841,-102.0122,28.1,7.3,"MICHOACAN, MEXICO",372828136
2014,04,18,14:27:24,17.3211,-100.9938,24.4,7.3,"GUERRERO, MEXICO",1397831244
1997,01,11,20:28:28,18.1734,-102.8339,49.3,7.2,"MICHOACAN, MEXICO",853014508
2018,02,16,23:39:39,16.3887,-97.9789,26,7.2,"OAXACA, MEXICO",1518824379
1995,10,21,02:38:57,16.8329,-93.5323,166.2,7.1,"CHIAPAS, MEXICO",814243137
1996,02,25,03:08:13,15.9626,-98.0906,7.1,7.1,"OFF COAST OF GUERRERO, MEXICO",825217693
2017,09,19,18:14:38,18.5678,-98.4808,51,7.1,"CENTRAL MEXICO",1505844878
2021,09,08,01:47:47,16.9722,-99.7429,20,7,"NEAR COAST OF GUERRERO, MEXICO",1631065667
1986,04,30,07:07:19,18.3692,-103.0103,37.8,7,"NEAR COAST OF MICHOACAN, MEXICO",515228839
1999,06,15,20:42:05,18.369,-97.444,63.9,7,"CENTRAL MEXICO",929479325
2012,04,12,07:15:49,28.8386,-113.127,10,7,"BAJA CALIFORNIA, MEXICO",1334214949
1997,05,01,11:37:34,18.9948,-107.2671,15,6.9,"OFF COAST OF JALISCO, MEXICO",862486654
1997,07,19,14:22:08,16.339,-98.1903,31.4,6.9,"NEAR COAST OF GUERRERO, MEXICO",869322128
2009,08,03,17:59:56,29.0705,-112.9137,7.8,6.9,"GULF OF CALIFORNIA",1249322396
1973,08,28,09:50:39,18.2547,-96.5838,74.9,6.8,"VERACRUZ, MEXICO",115379439
1996,07,15,21:23:37,17.5714,-101.0485,48.2,6.8,"NEAR COAST OF GUERRERO, MEXICO",837465817
1993,10,24,07:52:18,16.8338,-98.7312,39,6.7,"NEAR COAST OF GUERRERO, MEXICO",751449138
2002,04,18,05:02:45,16.984,-100.935,19.7,6.7,"NEAR COAST OF GUERRERO, MEXICO",1019106165
2010,10,21,17:53:13,24.7878,-109.1744,13.9,6.7,"GULF OF CALIFORNIA",1287683593
2011,04,07,13:11:23,17.2651,-94.1439,165.1,6.7,"CHIAPAS, MEXICO",1302181883
2012,04,11,22:55:10,18.2042,-102.8762,27.6,6.7,"MICHOACAN, MEXICO",1334184910
2015,09,13,08:14:08,24.913,-109.6226,10,6.7,"GULF OF CALIFORNIA",1442132048
1988,06,18,22:49:42,26.8119,-111.0365,10,6.6,"GULF OF CALIFORNIA",582677382
1995,08,28,10:46:14,26.2711,-110.3618,12.2,6.6,"GULF OF CALIFORNIA",809606774
2006,01,04,08:32:33,28.2303,-112.1263,14.1,6.6,"GULF OF CALIFORNIA",1136363553
2013,10,19,17:54:57,25.9612,-110.3639,15,6.6,"GULF OF CALIFORNIA",1382205297
2015,12,17,19:49:53,15.8009,-93.6294,85,6.6,"NEAR COAST OF CHIAPAS, MEXICO",1450381793
2016,01,21,18:06:57,18.8288,-106.9344,10,6.6,"OFF COAST OF JALISCO, MEXICO",1453399617
1979,03,14,11:07:10,17.7634,-101.2954,2.8,6.5,"NEAR COAST OF GUERRERO, MEXICO",290257630
1994,12,10,16:17:39,18.1152,-101.4289,53.8,6.5,"GUERRERO, MEXICO",787076259
1997,05,22,07:50:55,18.6706,-101.6584,84.6,6.5,"GUERRERO, MEXICO",864287455
2000,08,09,11:41:44,18.162,-102.577,16.2,6.5,"MICHOACAN, MEXICO",965821304
2002,10,03,16:08:29,23.3039,-108.496,10,6.5,"GULF OF CALIFORNIA",1033661309
2008,02,12,12:50:19,16.4315,-94.2427,85.7,6.5,"OAXACA, MEXICO",1202820619
2011,12,11,01:47:25,17.9024,-99.9298,65.4,6.5,"GUERRERO, MEXICO",1323568045
2014,05,08,17:00:15,17.1486,-100.8113,24.9,6.5,"GUERRERO, MEXICO",1399568415
1978,11,29,19:52:48,16.0734,-96.5469,22.8,6.4,"OAXACA, MEXICO",281217168
1980,10,24,14:53:34,18.2169,-98.2027,65.4,6.4,"CENTRAL MEXICO",341247214
1989,08,29,04:16:22,18.0472,-105.6899,16.6,6.4,"OFF COAST OF JALISCO, MEXICO",620367382
1995,05,31,16:08:40,18.998,-107.4129,32.4,6.4,"OFF COAST OF JALISCO, MEXICO",801936520
1995,12,11,14:09:24,18.9683,-105.4545,20,6.4,"OFF COAST OF JALISCO, MEXICO",818690964
1998,02,03,03:02:00,15.9184,-96.2446,29.2,6.4,"NEAR COAST OF OAXACA, MEXICO",886474920
2001,11,28,14:32:33,15.679,-93.129,86.2,6.4,"NEAR COAST OF CHIAPAS, MEXICO",1006957953
2002,01,16,23:09:52,15.541,-93.154,79.5,6.4,"NEAR COAST OF CHIAPAS, MEXICO",1011222592
2008,09,24,02:33:05,17.5209,-105.4553,10,6.4,"OFF COAST OF JALISCO, MEXICO",1222223585
2009,09,24,07:16:22,18.8111,-107.2085,30.2,6.4,"OFF COAST OF JALISCO, MEXICO",1253776582
2014,07,29,10:46:13,17.81,-95.501,99,6.4,"OAXACA, MEXICO",1406630773
2019,11,20,04:27:05,13.9824,-93.1298,11,6.3,"OFF COAST OF CHIAPAS, MEXICO",1574224025
1979,06,22,06:30:54,17.0426,-94.6155,108.4,6.3,"CHIAPAS, MEXICO",298881054
1982,06,07,10:59:38,16.5772,-98.3436,19.9,6.3,"NEAR COAST OF GUERRERO, MEXICO",392295578
1983,01,24,08:17:38,16.1369,-95.2483,49.8,6.3,"OAXACA, MEXICO",412244258
1994,05,23,01:41:44,18.2259,-100.5384,68.9,6.3,"GUERRERO, MEXICO",769657304
1998,06,07,23:20:14,15.9855,-93.7856,92,6.3,"NEAR COAST OF CHIAPAS, MEXICO",897261614
1999,06,21,17:43:06,18.437,-101.541,77.7,6.3,"GUERRERO, MEXICO",929986986
2001,05,20,04:21:44,18.864,-104.473,33,6.3,"NEAR COAST OF JALISCO, MEXICO",990332504
2003,03,12,23:41:33,26.649,-110.5775,10.3,6.3,"GULF OF CALIFORNIA",1047512493
2010,06,30,07:22:27,16.2901,-97.9585,27.8,6.3,"OAXACA, MEXICO",1277882547
2012,09,25,23:45:24,24.7742,-110.1836,8.1,6.3,"BAJA CALIFORNIA, MEXICO",1348616724
2016,06,07,10:51:37,18.3637,-105.1731,10,6.3,"OFF COAST OF JALISCO, MEXICO",1465296697
2018,01,19,16:17:42,26.6795,-111.107,10,6.3,"GULF OF CALIFORNIA",1516378662
1973,01,30,21:01:13,18.5286,-102.9286,48.4,6.2,"MICHOACAN, MEXICO",97275673
1987,07,15,07:16:14,17.5185,-97.1429,72.5,6.2,"OAXACA, MEXICO",553331774
1989,04,25,14:29:01,16.8096,-99.3079,21.3,6.2,"NEAR COAST OF GUERRERO, MEXICO",609517741
1996,02,25,09:17:58,16.15,-97.9048,19.8,6.2,"OAXACA, MEXICO",825239878
1999,05,05,22:41:28,14.305,-94.751,16,6.2,"OFF COAST OF CHIAPAS, MEXICO",925944088
1999,11,21,06:46:20,18.917,-107.147,10,6.2,"OFF COAST OF JALISCO, MEXICO",943166780
2005,06,27,11:35:44,18.9321,-107.2379,16.1,6.2,"OFF COAST OF JALISCO, MEXICO",1119872144
2010,08,24,02:11:59,18.5693,-107.1592,30,6.2,"OFF COAST OF JALISCO, MEXICO",1282615919
2011,11,01,12:32:03,19.8381,-109.1734,30,6.2,"REVILLA GIGEDO ISLANDS REGION",1320150723
2012,01,21,18:47:13,14.933,-93.1422,63.5,6.2,"NEAR COAST OF CHIAPAS, MEXICO",1327171633
2013,08,21,12:38:29,16.8572,-99.5188,18.9,6.2,"NEAR COAST OF GUERRERO, MEXICO",1377088709
2014,05,31,11:53:46,18.6938,-107.4923,10,6.2,"OFF COAST OF JALISCO, MEXICO",1401537226
2015,02,22,14:23:13,18.5597,-106.9433,10,6.2,"OFF COAST OF JALISCO, MEXICO",1424614993
2020,05,22,08:46:06,22.4028,-108.1636,10,6.1,"OFF COAST OF CENTRAL MEXICO",1590137166
1976,06,07,14:26:39,17.4519,-100.6539,47.7,6.1,"GUERRERO, MEXICO",203005599
1984,10,13,17:18:13,15.046,-94.277,25.9,6.1,"NEAR COAST OF OAXACA, MEXICO",466535893
1989,09,16,23:20:54,16.45,-93.701,124.1,6.1,"CHIAPAS, MEXICO",621991254
1993,05,15,03:12:34,16.8148,-98.3607,29.2,6.1,"NEAR COAST OF GUERRERO, MEXICO",737435554
1995,12,11,19:44:11,18.6662,-105.4645,31.5,6.1,"OFF COAST OF JALISCO, MEXICO",818711051
2001,04,29,21:26:57,18.759,-104.577,29,6.1,"NEAR COAST OF JALISCO, MEXICO",988579617
2002,01,16,23:10:19,22.5,-93.2,80,6.1,"GULF OF MEXICO",1011222619
2003,05,19,16:27:11,17.6252,-105.4691,10,6.1,"OFF COAST OF JALISCO, MEXICO",1053361631
2007,07,06,01:09:20,16.6169,-93.5413,121.9,6.1,"CHIAPAS, MEXICO",1183684160
2007,09,01,19:14:23,24.9881,-109.6641,9.8,6.1,"GULF OF CALIFORNIA",1188674063
2012,04,02,17:36:42,16.3729,-98.4615,16.3,6.1,"NEAR COAST OF GUERRERO, MEXICO",1333388202
2012,04,12,07:06:01,28.8579,-113.0595,17,6.1,"BAJA CALIFORNIA, MEXICO",1334214361
2012,11,15,09:20:21,18.1995,-100.5249,57.9,6.1,"GUERRERO, MEXICO",1352971221
2013,04,22,01:16:32,18.0412,-102.1983,31.5,6.1,"MICHOACAN, MEXICO",1366593392
2014,05,10,07:36:00,17.0579,-100.9323,23.3,6.1,"GUERRERO, MEXICO",1399707360
2014,09,06,19:22:57,18.778,-107.101,10,6.1,"OFF COAST OF JALISCO, MEXICO",1410031377
2014,10,08,02:40:52,23.7886,-108.5064,7.1,6.1,"GULF OF CALIFORNIA",1412736052
2017,09,23,12:53:02,16.7732,-94.9509,9.6,6.1,"OAXACA, MEXICO",1506171182
2021,12,22,23:22:57,18.8322,-107.207,10,6,"OFF COAST OF JALISCO, MEXICO",1640215377
1972,09,16,09:14:32,15.2265,-96.2587,20,6,"NEAR COAST OF OAXACA, MEXICO",85482872
1973,10,18,10:49:39,19.418,-104.983,56.3,6,"NEAR COAST OF JALISCO, MEXICO",119789379
1975,04,23,11:14:49,16.4688,-98.8572,17.3,6,"NEAR COAST OF GUERRERO, MEXICO",167483689
1980,08,14,06:27:00,16.1,-95,5,6,"OAXACA, MEXICO",335082420
1980,12,18,14:26:20,15.3374,-98.182,13,6,"OFF COAST OF GUERRERO, MEXICO",345997580
1981,01,14,16:21:14,15.1,-94.9,5,6,"NEAR COAST OF OAXACA, MEXICO",348337274
1982,06,07,06:52:34,16.5108,-98.2493,19.4,6,"NEAR COAST OF GUERRERO, MEXICO",392280754
1985,09,15,07:57:53,17.9755,-97.1626,63.1,6,"OAXACA, MEXICO",495619073
1990,05,31,07:35:29,17.3494,-100.6546,37.9,6,"GUERRERO, MEXICO",644139329
1993,05,15,03:09:38,16.7385,-98.3864,19.7,6,"NEAR COAST OF GUERRERO, MEXICO",737435378
